========================================================================================================================
VISIBLE CONTROLS: after_click
========================================================================================================================

seq=0001 | title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025' | type='Window' | class='Afx:00007FF6ECF30000:b:0000000000010003:0000000000000006:00000000005A0A61' | auto_id='' | rect={'left': -11, 'top': -11, 'right': 2571, 'bottom': 1539, 'width': 2582, 'height': 1550} | visible=True | enabled=True | source='leap_window' | parent_type='Pane' | parent_title='Desktop 1'
seq=0037 | title='ProjectWise' | type='TabItem' | class='' | auto_id='' | rect={'left': 219, 'top': 40, 'right': 340, 'bottom': 72, 'width': 121, 'height': 32} | visible=True | enabled=True | source='leap_descendant' | parent_type='Group' | parent_title='Ribbon Tabs'
seq=0038 | title='Bentley Cloud Services' | type='TabItem' | class='' | auto_id='' | rect={'left': 340, 'top': 40, 'right': 547, 'bottom': 72, 'width': 207, 'height': 32} | visible=True | enabled=True | source='leap_descendant' | parent_type='Group' | parent_title='Ribbon Tabs'
seq=0039 | title='OpenBridge Modeler' | type='TabItem' | class='' | auto_id='' | rect={'left': 547, 'top': 40, 'right': 740, 'bottom': 72, 'width': 193, 'height': 32} | visible=True | enabled=True | source='leap_descendant' | parent_type='Group' | parent_title='Ribbon Tabs'
seq=0077 | title='Style' | type='SplitButton' | class='' | auto_id='' | rect={'left': 2404, 'top': 41, 'right': 2465, 'bottom': 71, 'width': 61, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0078 | title='Email File' | type='Button' | class='' | auto_id='' | rect={'left': 2465, 'top': 41, 'right': 2497, 'bottom': 71, 'width': 32, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0079 | title='About LEAP Bridge Steel' | type='Button' | class='' | auto_id='' | rect={'left': 2497, 'top': 41, 'right': 2529, 'bottom': 71, 'width': 32, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0080 | title='Sign In' | type='Button' | class='' | auto_id='' | rect={'left': 2529, 'top': 41, 'right': 2560, 'bottom': 71, 'width': 31, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0040 | title='Home' | type='ToolBar' | class='' | auto_id='' | rect={'left': 0, 'top': 72, 'right': 2560, 'bottom': 207, 'width': 2560, 'height': 135} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0041 | title='View' | type='ToolBar' | class='' | auto_id='' | rect={'left': 4, 'top': 75, 'right': 293, 'bottom': 203, 'width': 289, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0048 | title='Commands' | type='ToolBar' | class='' | auto_id='' | rect={'left': 295, 'top': 75, 'right': 515, 'bottom': 203, 'width': 220, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
